t40,mv40,t80,mv80,t115,mv115,t1925,mv1925,t255,mV255,,,M,M,M,M,M,M,M,M,M,M
159.96,168,257.74,180.3,388.3,172,366.83,211.2,386.61,216.4,-0.181,-0.151,-0.171,-0.082,-0.071,,,,,,,
172.26,163,277.57,176,418.17,168,395.04,209,416.35,211,-0.194,-0.161,-0.181,-0.086,-0.082,,,,,,,
184.57,157,297.39,171.6,448.04,162,423.26,205.7,446.09,207,-0.211,-0.172,-0.197,-0.093,-0.091,,,,,,,
196.87,153,317.22,167,477.91,156,451.48,202,475.83,204,-0.222,-0.184,-0.213,-0.101,-0.097,,,,,,,
209.17,148,337.04,161,507.78,152,479.7,199,505.57,203,-0.236,-0.200,-0.225,-0.108,-0.099,,,,,,,
221.48,144,356.87,157.1,537.65,145.3,507.91,196,535.3,200,-0.248,-0.210,-0.244,-0.114,-0.106,,,,,,,
233.78,140,376.7,154,567.52,141.5,536.13,195,565.04,198,-0.260,-0.219,-0.256,-0.117,-0.110,,,,,,,
246.09,136,396.52,150,597.39,138,564.35,192,594.78,197,-0.273,-0.230,-0.267,-0.123,-0.112,,,,,,,
258.39,131.6,416.35,147,627.26,135,592.57,189,624.52,195,-0.287,-0.239,-0.276,-0.130,-0.117,,,,,,,
270.7,129,436.17,143,657.13,132.9,620.78,187,654.26,192,-0.296,-0.251,-0.283,-0.135,-0.123,,,,,,,
283,126,456,139,687,128,649,182,684,190,-0.306,-0.264,-0.299,-0.146,-0.128,,,,,,,
